seed_id,brand_name,branch_name,type,category_primary,category_secondary,barrio,address,city,hours,instagram,whatsapp,menu_url,price_min_cop,price_max_cop,min_group_size,max_group_size,group_estimate_method,tags,moods,latitude,longitude,geo_status,source_primary,source_secondary,validation_status,notes
1,Museo La Tertulia,Sede El Peñon,place,Arte y cultura,Museo,El Peñon,"Carrera 1 Oeste #5-105",Cali,"Mar-Sab 10:00-19:00; Dom 14:00-18:00",@museolatertulia,,https://www.museolatertulia.com/,,,1,4,editorial_estimate,"museo,arte,cine,jardines","cultura,plan tranqui,hablar",,,pending_geocode,https://archivo.museolatertulia.com/horarios/,https://www.vivecali.com/venue/museo-la-tertulia-cali/,ready_for_review,Direccion y horarios consistentes; Instagram oficial identificado; falta geocodificacion
2,Museo del Oro Calima,Sede Centro,place,Arte y cultura,Museo,Centro,"Calle 7 #4-69",Cali,"Lun-Sab 09:00-17:00",@banrep_cultural,,https://www.banrepcultural.org/cali,,,1,4,editorial_estimate,"museo,oro,prehispanico,historia","cultura,aprender,plan tranqui",,,pending_geocode,https://www.vivecali.com/venue/museo-del-oro-calima-cali/,,ready_for_review,Entrada gratuita segun fuente; falta validar telefono en fuente oficial directa
3,Museo Caliwood,Sede Arboleda,place,Cine,Museo,Arboleda,"Avenida Belalcazar (Carrera 2 Oeste) #5A-55 Oeste",Cali,"Lun-Vie 08:00-12:00 y 14:00-18:00; Sab 15:00-18:00; Dom 10:00-17:00",@museocaliwood,3104732282,https://www.caliwood.com.co,20000,20000,1,4,editorial_estimate,"cine,museo,coleccion,historia","cultura,plan tranqui,aprender",,,pending_geocode,https://www.caliwood.com.co/,https://www.vivecali.com/venue/museo-caliwood-cali/,ready_for_review,Registro bastante solido con sitio oficial; falta geocodificacion
4,Teatro Municipal Enrique Buenaventura,Sede Centro Historico,place,Arte y cultura,Teatro,Centro,"Calle 7 #6-59",Cali,"Segun programacion oficial",,6028839106,, , ,1,4,editorial_estimate,"teatro,cultura,arquitectura,shows","cultura,algo especial,hablar",,,pending_geocode,https://www.vivecali.com/venue/teatro-municipal-enrique/,https://www.vivecali.com/venue/teatro-municipal-enrique/?lang=en,ready_for_review,Direccion reportada ligeramente distinta entre snippet y detalle; validar direccion final exacta
5,Fundacion Escenica Cali Teatro,Sede San Antonio,place,Arte y cultura,Teatro,San Antonio,"Cra. 12 #4-51",Cali,,,[email protected],, , ,1,4,editorial_estimate,"teatro,independiente,cultura,talleres","cultura,hablar,algo especial",,,pending_geocode,https://www.vivecali.com/venue/fundacion-escenica-cali-teatro/,,ready_for_review,Falta horario regular; aforo en fuente sugiere plan pequeno-mediano
6,Zoologico de Cali,Sede Oeste,place,Familiar,Zoologico,Oeste,"Carrera 2a Oeste, Bosque Municipal",Cali,"Lun-Dom 09:00-16:30",@zoologicodecali,,https://www.zoologicodecali.com.co/visita,27500,40000,2,6,editorial_estimate,"zoo,familiar,animales,turismo","familia,caminar,algo especial",,,pending_geocode,https://www.zoologicodecali.com.co/visita,https://www.policia.gov.co/bienestar/alianzas-bienestar/zoologico-cali,ready_for_review,Fuente principal ya oficial para tarifas y horarios; falta geocodificacion
7,Ecoparque Cristo Rey,Sede Los Cristales,place,Naturaleza y aire libre,Mirador,Los Cristales,"Cerro Los Cristales",Cali,"Turnos 09:00 / 12:00 / 15:00 con registro",,,,0,0,1,5,editorial_estimate,"mirador,naturaleza,turismo,aire libre","caminar,al aire libre,algo especial",,,pending_geocode,https://www.vivecali.com/venue/cristo-rey-cali/?lang=en,https://www.tropicanafm.com/2025/como-entrar-al-ecoparque-cristo-rey-de-cali-entrada-gratis-horarios-y-link-de-reserva-452330.html,ready_for_review,Entrada gratuita con reserva; falta link oficial de reservas en semilla
8,Parque del Perro,Sector San Fernando,place,Familiar,Lugar turistico,San Fernando,"Cra. 34 3-2 a 3-166",Cali,"24 horas",,,,0,0,1,6,editorial_estimate,"parque,gastronomia,barrio,paseo","salir un rato,hablar,con amigos",,,pending_geocode,https://www.vivecali.com/venue/parque-del-perro/,,ready_for_review,Es un sector/cluster mas que un negocio puntual; sirve como POI turistico
9,Parque de las Novias del Gato del Rio,Sector Rio Cali,place,Arte y cultura,Arte publico,El Peñon,"Ribera del rio Cali",Cali,"24 horas",,,,0,0,1,4,editorial_estimate,"arte publico,gato del rio,paseo,turismo","caminar,cultura,plan tranqui",,,pending_geocode,https://www.vivecali.com/venue/parque-de-las-novias-del-gato/?lang=en,,ready_for_review,POI urbano; ideal para categoria arte y cultura / turismo
10,Dulcinea Cafe Vintage,Sede Miraflores,place,Restaurantes,Cafe y brunch,Miraflores,"Cra. 26A #3-54",Cali,"Lun 12:00-21:00; Mar-Vie 09:00-21:00; Sab 08:00-22:00; Dom 08:00-20:00",@dulcinea_cafe_vintage,6025560262,http://dulcinea-cafe-vintage.cluvi.co,20000,40000,1,4,editorial_estimate,"cafe,brunch,petfriendly,vegano","brunch,chill,hablar",,,pending_geocode,https://www.waze.com/live-map/directions/co/valle-del-cauca/cali/dulcinea-cafe-vintage.?to=place.ChIJYw2hnoSmMI4R5AFoNJUPu4o,https://www.vivecali.com/venue/dulcinea-cafe-vintage-cali-mas-que-cafe-un-estilo-de-vida-saludable/,ready_for_review,Direccion y telefono consistentes; el barrio operativo se deja como Miraflores por la direccion; falta geocodificacion
