type,slug,name,short_description,cover_image_url,gallery_urls,category,city,tags,moods,is_active,is_featured
place,museo-la-tertulia,Museo La Tertulia,"Museo iconico del oeste caleño para arte, cine y plan cultural tranquilo.",https://images.unsplash.com/photo-1518998053901-5348d3961a04?auto=format&fit=crop&w=1200&q=80,,Arte y cultura,Cali,"museo,arte,cultura,cine,oeste","cultura,plan tranqui,aprender",true,false
place,museo-caliwood,Museo Caliwood,Museo dedicado a la historia del cine en una casa patrimonial del oeste.,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?auto=format&fit=crop&w=1200&q=80,,Cine,Cali,"cine,museo,historia,coleccion","cultura,aprender,plan tranqui",true,false
place,zoologico-de-cali,Zoologico de Cali,"Plan familiar clasico con recorrido largo, animales y mucho verde.",https://images.unsplash.com/photo-1549366021-9f761d040a94?auto=format&fit=crop&w=1200&q=80,,Familiar,Cali,"zoologico,familia,animales,aire libre","familiar,plan de dia,caminar",true,false
place,jardin-botanico-de-cali,Jardin Botanico de Cali,Recorrido natural y educativo para bajar el ritmo en el oeste.,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?auto=format&fit=crop&w=1200&q=80,,Naturaleza y aire libre,Cali,"jardin botanico,naturaleza,plantas,recorrido","tranqui,naturaleza,aprender",true,false
place,cerro-de-las-tres-cruces,Cerro de las Tres Cruces,Caminata de mirador y ejercicio para plan temprano con vista a la ciudad.,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1200&q=80,,Naturaleza y aire libre,Cali,"senderismo,mirador,cerro,ejercicio","activo,plan de dia,naturaleza",true,false
place,cristo-rey,Cristo Rey,Plan de mirador y recorrido natural en uno de los iconos de Cali.,https://images.unsplash.com/photo-1511497584788-876760111969?auto=format&fit=crop&w=1200&q=80,,Naturaleza y aire libre,Cali,"mirador,iconico,cerro,oeste","activo,plan de dia,panoramico",true,false
place,callao,Callao,Rooftop bar y discoteca en el centro para noche larga con vista urbana.,https://images.unsplash.com/photo-1514525253161-7a46d19cd819?auto=format&fit=crop&w=1200&q=80,,Vida nocturna,Cali,"rooftop,discoteca,cocteles,centro","noche,fiesta,con amigos",true,false
place,la-pergola-clandestina,La Pergola Clandestina,Bar y club de terrazas para rumba y cocteles en el centro.,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?auto=format&fit=crop&w=1200&q=80,,Vida nocturna,Cali,"bar,club,cocteles,terraza,centro","fiesta,noche,algo especial",true,false
place,cuuc,Cuuc,"Restaurante casual en Marbella Plaza con bebidas, pandebonos, pizzas y rollos.",https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"restaurante,pance,marbella,bebidas","con amigos,comer rico,algo casual",true,false
place,dos-santos-cantina,Dos Santos Cantina,Cantina moderna en Marbella Plaza para compartir platos y tragos.,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"cantina,pance,marbella,cocteles","con amigos,comer rico,noche",true,false
place,cafe-gardenia,Cafe Gardenia,"Cafe, pasteleria y brunch para parche suave y mesa larga.",https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"cafe,brunch,pasteleria,postres,cali","cafe,tranqui,brunch",true,false
place,hoi-an-cocina-vietnamita,Hoi An Cocina Vietnamita,Cocina vietnamita con ambiente cuidado y buen parche en Pance.,https://images.unsplash.com/photo-1559847844-5315695dadae?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"vietnamita,asiatico,pance,marbella","comer rico,conversar,algo especial",true,false
place,purist-cafe,Purist Cafe,Cafe de especialidad para parche suave y tarde tranquila en Pance.,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"cafe de especialidad,pance,marbella,postres","cafe,chill,hablar",true,false
place,valle-catalina,Valle Catalina,Restaurante de ambiente vistoso para almuerzo largo o cena en Marbella.,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"restaurante,pance,marbella,cena","algo especial,comer rico,con amigos",true,false
place,el-cafe-del-sol,El Cafe del Sol,Marca de sushi y cocina variada con sedes utiles en Pance y Ciudad Jardin.,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"sushi,ciudad jardin,pance,comida variada","comer rico,casual,con amigos",true,false
place,taqueria-chalacas,Chacalacas,Cocina mexicana casual con varias sedes para tacos y antojos en Cali.,https://images.unsplash.com/photo-1552332386-f8dd00dc2f85?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"tacos,mexicano,cali,puerto 125,granada,ciudad jardin,unicentro,pacific center,jardin plaza","casual,antojo,con amigos",true,false
place,bbc,BBC,Cerveza artesanal y cocina de bar para parche de tarde o noche.,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?auto=format&fit=crop&w=1200&q=80,,Vida nocturna,Cali,"cerveza artesanal,bar,cocteles,noche","con amigos,noche,casual",true,false
place,el-paso,El Paso,Hamburguesas y comida casual con varias sedes para almuerzo o noche en Cali.,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"hamburguesas,cali,puerto 125,jardin plaza,la flora,novena","casual,con amigos,comer rico",true,false
place,el-cilindro,El Cilindro,Cocina rustica y platos fuertes con varias sedes para almuerzo o cena en Cali.,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"carnes,parrilla,cali,puerto 125,granada,ciudad jardin,jardin plaza,unicentro,chipichape,parque del perro","con amigos,comer rico,casual",true,false
place,uki-fresh-food,UKI,Cocina asiatica casual con bowls y principales para comer en varias zonas de Cali.,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"asiatico,bowls,cali,granada,puerto 125,jardin plaza,pacific center,parque del perro","comer rico,casual,algo especial",true,false
place,cafe-pintado,Cafe Pintado,"Cafe, arte y postres para una pausa suave en distintas zonas de Cali.",https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"cafe,postres,arte,cali,malls","cafe,tranqui,hablar",true,false
place,cascanueces,Cascanueces,Dulce y cafe para antojo rapido con sedes en Puerto 125 y Limonar.,https://images.unsplash.com/photo-1488477181946-6428a0291777?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"dulce,cafe,pance,puerto 125,limonar","antojo,tranqui,cafe",true,false
place,turk-house,Turk House,Cocina turca y bowls para comer distinto en varias zonas de Cali.,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"turco,mediterraneo,bowls,cali,pet friendly","comer rico,algo especial,casual",true,false
place,dolce-vicolo,Dolce Vicolo,Gelato y postres artesanales para tarde suave o plan dulce.,https://images.unsplash.com/photo-1563805042-7684c019e1cb?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"gelato,postres,cafe,cali","dulce,tranqui,algo especial",true,false
place,la-corte-de-la-carne,La Corte de la Carne,Carnes y platos fuertes con sedes en Puerto 125 y Granada para ir con hambre en Cali.,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"carnes,steak,pance,puerto 125,granada","comer rico,con amigos,casual",true,false
place,bomberry,Bomberry,"Fresas con crema, helados y postres para parche dulce en Puerto 125.",https://images.unsplash.com/photo-1560008581-09826d1de69e?auto=format&fit=crop&w=1200&q=80,,Restaurantes,Cali,"helado,postres,fresas con crema,pance,puerto 125","dulce,fresco,antojo",true,false
